,0
0,0.8883244543736037
1,0.854786509436793
2,0.843125333689995
3,0.8478536797702229
4,0.8182496473095828
5,0.8070003627962039
6,0.8386219745387986
7,0.7780523299426891
8,0.837634912624349
9,0.82441793596892
10,0.8615658999501403
11,0.8518198675930245
12,0.8161309455162529
13,0.8946915113871635
14,0.8057779816442636
15,0.8684166939086848
16,0.8739294958349779
17,0.827864706058857
18,0.8962187088274045
19,0.8459710967903187
20,0.8641994527211918
21,0.8612486757099233
22,0.8534710310748517
23,0.8539754553365139
24,0.8252454286690646
25,0.8256051206469041
26,0.868152080643574
27,0.8303793247842596
28,0.8777714258016716
29,0.8865512811070468
30,0.8338444668123306
31,0.8159824330259113
32,0.8034709122005909
33,0.8174059689522827
34,0.8814343325231794
35,0.8152272931857053
36,0.8701656914813815
37,0.8342620215323429
38,0.8673329480853109
39,0.8676447261821852
40,0.860776775044012
41,0.8341419580651497
42,0.9037217455932013
43,0.8679391445872041
44,0.8168483830109539
45,0.7892779586327903
46,0.8697166200849417
47,0.8042201381898924
48,0.8715014252708015
49,0.8806225462263668
50,0.8328600126331696
51,0.9021340215848225
52,0.8144932209220065
53,0.8214403808823989
54,0.8416784190836522
55,0.8772649611523357
56,0.8481619871411931
57,0.8000205887039037
58,0.8970962307272771
59,0.8238981953939669
60,0.8677521759903611
61,0.7887783898521139
62,0.8268968837522455
63,0.8363940533316716
64,0.8696803058315346
65,0.8264423607313288
66,0.8591585886338647
67,0.8135593455064155
68,0.8578456538321227
69,0.8599434692591592
70,0.8196021080368906
71,0.881572551416348
72,0.84093272641588
73,0.842046520984736
74,0.8186755210762773
75,0.8072101867113308
76,0.7972378516624041
77,0.8407736858671445
78,0.8372829349464511
79,0.8685224432318254
80,0.8248566631855856
81,0.8397701500127128
82,0.8435901948642969
83,0.87944389070287
84,0.8045643374878143
85,0.8788162914590135
86,0.8243468796298775
87,0.8267017248642372
88,0.8324548990167027
89,0.8586070644331512
90,0.8427860830399881
91,0.8545162907268171
92,0.8587023411371238
93,0.8024138350992571
94,0.8808187998781969
95,0.8569330277565572
96,0.8100289670421996
97,0.7853046663481446
98,0.8854239223099446
99,0.8356269022679296
