,0
0,0.9525017924884116
1,0.9831918007653957
2,0.9700947283462894
3,0.9711224814005716
4,0.9747461875026548
5,0.9489873791505511
6,0.9619274817758314
7,0.9663299249032895
8,0.9701359201805232
9,0.9747355677328915
10,0.9567284608542413
11,0.9787250612406724
12,0.9744481903268701
13,0.987277515823457
14,0.9661966292207149
15,0.94861624399983
16,0.9747001685003469
17,0.9786960982322267
18,0.9447900696785622
19,0.9708085055988714
20,0.9574777982449705
21,0.978792319782507
22,0.9533543572017394
23,0.9871919140429398
24,0.9872668960536937
25,0.9576795738704748
26,0.9915041841892869
27,0.9787710802429803
28,0.9668155001514193
29,0.9623233095579214
30,0.9705432212316594
31,0.9744127910943253
32,0.9786960982322267
33,0.9748017489067793
34,0.974486523720401
35,0.9576795738704749
36,0.9579025890355061
37,0.949709275757447
38,0.974004016789847
39,0.9578040407326005
40,0.9660131968338928
41,0.9786960982322268
42,0.9530669797957182
43,0.9657258194278712
44,0.9787173377717535
45,0.9667240777856299
46,0.9657441626665533
47,0.9495200787525189
48,0.9789940954080115
49,0.9746422424834557
50,0.9696009090522917
51,0.9747066047244459
52,0.9789438928600391
53,0.9749019441258514
54,0.9704894787604326
55,0.9527251389296832
56,0.9660592158362006
57,0.9669380822369225
58,0.9664627670872096
59,0.9661665888443223
60,0.9662549428925358
61,0.9700674122540104
62,0.9705195191368251
63,0.9707106749925661
64,0.9742859974795747
65,0.9657022531357193
66,0.9830189881483369
67,0.9784589233741775
68,0.9659629942859203
69,0.9702002824215135
70,0.9578926128881525
71,0.9743944478556431
72,0.9662001691439694
73,0.9621504969408627
74,0.9572882893053958
75,0.9830189881483369
76,0.9664627670872096
77,0.9656466917315949
78,0.9660592158362007
79,0.9829440061375834
80,0.9698794856214474
81,0.9530599740233995
82,0.9744192273184245
83,0.966069835605964
84,0.9747355677328915
85,0.9702611047392493
86,0.9705750805409495
87,0.9746316227136922
88,0.961586361898583
89,0.966229132152415
90,0.982979405370128
91,0.9662716112314684
92,0.9536591864870188
93,0.9702398651997225
94,0.9574725751915009
95,0.9695365468113015
96,0.952796336572354
97,0.9790919260143167
98,0.9786960982322267
99,0.9702215219610403
